,proba_m1,proba_m2,bayes_factor,scale1,scale2,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,comparison,group1,group2
AC108067.1,0.823,0.17700000000000005,1.5368064237567352,2.004408e-05,1.21455205e-05,0.005946482,0.0029491826,0.005946481665014866,0.0018715970961887486,0.15670152,0.11507838,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
TRAC,0.823,0.17700000000000005,1.5368064237567352,5.533664e-05,0.00013204767,0.022794843,0.040210977,0.02081268582755203,0.01553992740471875,0.6385144,1.2880846,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
XIRP1,0.8226,0.1774,1.534062941707637,0.00035141612,0.00017181569,0.21803771,0.08042155,0.1199207135777994,0.048434664246823134,4.254043,1.9680836,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
RERGL,0.8214,0.17859999999999998,1.5258614892633562,0.00013706373,0.00011319419,0.05748264,0.051156912,0.04360753221010902,0.024047186932849466,1.3894622,1.2294006,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
MSLN,0.8206,0.1794,1.5204177868282365,1.29802465e-05,3.3810395e-06,0.003964321,0.0023820328,0.003964321110009911,0.0010775862068965515,0.14421013,0.062428046,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
PLA2G7,0.8206,0.1794,1.5204177868282365,5.7232432e-06,6.4561686e-06,0.0019821606,0.0037431929,0.0019821605550049554,0.002608892921960072,0.08018449,0.056791946,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
CNKSR3,0.8192,0.18079999999999996,1.5109367632244657,0.0012869695,0.0005882427,0.47670898,0.17609811,0.27651139742319053,0.11473457350271779,10.610429,5.2497616,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
NR0B2,0.8192,0.18079999999999996,1.5109367632244657,8.447197e-05,3.0992116e-05,0.033696726,0.011172858,0.026759167492566897,0.007883393829401106,0.79215574,0.29663795,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
GSE1,0.8184,0.18159999999999998,1.5055447056231102,0.0017074072,0.0007646637,0.7413297,0.23235834,0.40336967294351034,0.14916061705988465,19.144705,8.558167,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
OLIG1,0.8174,0.18259999999999998,1.4988305604387102,6.6089007e-07,4.9840503e-07,0.0,0.00051043555,0.0,0.0002835753176043557,0.0,0.00472848,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
WISP2,0.8172,0.18279999999999996,1.4974911614557305,0.00028559982,0.0001211937,0.12685838,0.049115065,0.10505450941526234,0.0368080762250452,3.4486039,1.4603918,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
SAA1,0.815,0.18500000000000005,1.4828322463784236,9.6688615e-05,5.4701017e-05,0.033696726,0.03249776,0.028741328047571853,0.00805353901996372,1.0798923,0.8955479,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
AP000561.1,0.8148,0.18520000000000003,1.4815063204178431,3.7202717e-05,1.7158362e-05,0.012884042,0.005161071,0.011892963330029732,0.004196914700544462,0.4474747,0.20922486,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
UPK3B,0.8096,0.1904,1.4474131360067077,1.511407e-05,5.4509355e-06,0.003964321,0.0042536305,0.003964321110009911,0.0018148820326678774,0.08703871,0.12050501,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
CHSY3,0.8094,0.1906,1.4461162011105986,0.00081547635,0.00048533775,0.2864221,0.077982776,0.18830525272546988,0.04735707803992664,8.0169,4.6076813,Atrial_Cardiomyocyte vs Rest,Atrial_Cardiomyocyte,Rest
